,team,W,L,W/L%,GB,PS/G,PA/G,SRS,year,confrence
0,Boston Celtics*,56,26,.683,—,111.5,105.7,5.22,1991,Eastern
1,Philadelphia 76ers*,44,38,.537,12.0,105.4,105.6,-0.39,1991,Eastern
2,New York Knicks*,39,43,.476,17.0,103.1,103.3,-0.43,1991,Eastern
3,Washington Bullets,30,52,.366,26.0,101.4,106.4,-4.84,1991,Eastern
4,New Jersey Nets,26,56,.317,30.0,102.9,107.5,-4.53,1991,Eastern
5,Miami Heat,24,58,.293,32.0,101.8,107.8,-5.91,1991,Eastern
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Eastern
7,Chicago Bulls*,61,21,.744,—,110.0,101.0,8.57,1991,Eastern
8,Detroit Pistons*,50,32,.610,11.0,100.1,96.8,3.08,1991,Eastern
9,Milwaukee Bucks*,48,34,.585,13.0,106.4,104.0,2.33,1991,Eastern
10,Atlanta Hawks*,43,39,.524,18.0,109.8,109.0,0.72,1991,Eastern
11,Indiana Pacers*,41,41,.500,20.0,111.7,112.1,-0.37,1991,Eastern
12,Cleveland Cavaliers,33,49,.402,28.0,101.7,104.2,-2.33,1991,Eastern
13,Charlotte Hornets,26,56,.317,35.0,102.8,108.0,-4.95,1991,Eastern
14,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1991,Western
15,San Antonio Spurs*,55,27,.671,—,107.1,102.6,4.30,1991,Western
16,Utah Jazz*,54,28,.659,1.0,104.0,100.7,3.18,1991,Western
17,Houston Rockets*,52,30,.634,3.0,106.7,103.2,3.27,1991,Western
18,Orlando Magic,31,51,.378,24.0,105.9,109.9,-3.79,1991,Western
19,Minnesota Timberwolves,29,53,.354,26.0,99.6,103.5,-3.75,1991,Western
20,Dallas Mavericks,28,54,.341,27.0,99.9,104.5,-4.27,1991,Western
21,Denver Nuggets,20,62,.244,35.0,119.9,130.8,-10.31,1991,Western
22,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,Western
23,Portland Trail Blazers*,63,19,.768,—,114.7,106.0,8.47,1991,Western
24,Los Angeles Lakers*,58,24,.707,5.0,106.3,99.6,6.73,1991,Western
25,Phoenix Suns*,55,27,.671,8.0,114.0,107.5,6.49,1991,Western
26,Golden State Warriors*,44,38,.537,19.0,116.6,115.0,1.72,1991,Western
27,Seattle SuperSonics*,41,41,.500,22.0,106.6,105.4,1.31,1991,Western
28,Los Angeles Clippers,31,51,.378,32.0,103.5,107.0,-3.16,1991,Western
29,Sacramento Kings,25,57,.305,38.0,96.7,103.5,-6.27,1991,Western
30,Boston Celtics*,51,31,.622,—,106.6,103.0,3.41,1992,Eastern
31,New York Knicks*,51,31,.622,—,101.6,97.7,3.67,1992,Eastern
32,New Jersey Nets*,40,42,.488,11.0,105.4,107.1,-1.54,1992,Eastern
33,Miami Heat*,38,44,.463,13.0,105.0,109.2,-3.94,1992,Eastern
34,Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,-1.34,1992,Eastern
35,Washington Bullets,25,57,.305,26.0,102.4,106.8,-4.35,1992,Eastern
36,Orlando Magic,21,61,.256,30.0,101.6,108.5,-6.52,1992,Eastern
37,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,Eastern
38,Chicago Bulls*,67,15,.817,—,109.9,99.5,10.07,1992,Eastern
39,Cleveland Cavaliers*,57,25,.695,10.0,108.9,103.4,5.34,1992,Eastern
40,Detroit Pistons*,48,34,.585,19.0,98.9,96.9,2.06,1992,Eastern
41,Indiana Pacers*,40,42,.488,27.0,112.2,110.3,1.85,1992,Eastern
42,Atlanta Hawks,38,44,.463,29.0,106.2,107.7,-1.15,1992,Eastern
43,Milwaukee Bucks,31,51,.378,36.0,105.0,106.7,-1.46,1992,Eastern
44,Charlotte Hornets,31,51,.378,36.0,109.5,113.4,-3.57,1992,Eastern
45,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1992,Western
46,Utah Jazz*,55,27,.671,—,108.3,101.9,5.70,1992,Western
47,San Antonio Spurs*,47,35,.573,8.0,104.0,100.6,2.81,1992,Western
48,Houston Rockets,42,40,.512,13.0,102.0,103.7,-1.94,1992,Western
49,Denver Nuggets,24,58,.293,31.0,99.7,107.6,-7.59,1992,Western
50,Dallas Mavericks,22,60,.268,33.0,97.6,105.3,-7.47,1992,Western
51,Minnesota Timberwolves,15,67,.183,40.0,100.5,107.5,-6.85,1992,Western
52,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1992,Western
53,Portland Trail Blazers*,57,25,.695,—,111.4,104.1,6.94,1992,Western
54,Golden State Warriors*,55,27,.671,2.0,118.7,114.8,3.77,1992,Western
55,Phoenix Suns*,53,29,.646,4.0,112.1,106.2,5.68,1992,Western
56,Seattle SuperSonics*,47,35,.573,10.0,106.5,104.7,1.86,1992,Western
57,Los Angeles Clippers*,45,37,.549,12.0,102.9,101.9,1.10,1992,Western
58,Los Angeles Lakers*,43,39,.524,14.0,100.4,101.5,-0.95,1992,Western
59,Sacramento Kings,29,53,.354,28.0,104.3,110.3,-5.63,1992,Western
60,New York Knicks*,60,22,.732,—,101.6,95.4,5.87,1993,Eastern
61,Boston Celtics*,48,34,.585,12.0,103.7,102.8,0.93,1993,Eastern
62,New Jersey Nets*,43,39,.524,17.0,102.8,101.6,1.20,1993,Eastern
63,Orlando Magic,41,41,.500,19.0,105.5,104.2,1.35,1993,Eastern
64,Miami Heat,36,46,.439,24.0,103.6,104.7,-0.93,1993,Eastern
65,Philadelphia 76ers,26,56,.317,34.0,104.3,110.1,-5.25,1993,Eastern
66,Washington Bullets,22,60,.268,38.0,101.9,108.9,-6.49,1993,Eastern
67,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,Eastern
68,Chicago Bulls*,57,25,.695,—,105.2,98.9,6.19,1993,Eastern
69,Cleveland Cavaliers*,54,28,.659,3.0,107.7,101.3,6.30,1993,Eastern
70,Charlotte Hornets*,44,38,.537,13.0,110.1,110.4,-0.02,1993,Eastern
71,Atlanta Hawks*,43,39,.524,14.0,107.5,108.4,-0.67,1993,Eastern
72,Indiana Pacers*,41,41,.500,16.0,107.8,106.1,1.77,1993,Eastern
73,Detroit Pistons,40,42,.488,17.0,100.6,102.0,-1.10,1993,Eastern
74,Milwaukee Bucks,28,54,.341,29.0,102.3,106.1,-3.26,1993,Eastern
75,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1993,Western
76,Houston Rockets*,55,27,.671,—,104.0,99.8,3.57,1993,Western
77,San Antonio Spurs*,49,33,.598,6.0,105.5,102.8,2.21,1993,Western
78,Utah Jazz*,47,35,.573,8.0,106.2,104.0,1.74,1993,Western
79,Denver Nuggets,36,46,.439,19.0,105.2,106.9,-2.14,1993,Western
80,Minnesota Timberwolves,19,63,.232,36.0,98.1,105.9,-7.62,1993,Western
81,Dallas Mavericks,11,71,.134,44.0,99.3,114.5,-14.68,1993,Western
82,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,Western
83,Phoenix Suns*,62,20,.756,—,113.4,106.7,6.27,1993,Western
84,Seattle SuperSonics*,55,27,.671,7.0,108.3,101.3,6.66,1993,Western
85,Portland Trail Blazers*,51,31,.622,11.0,108.5,105.4,2.92,1993,Western
86,Los Angeles Clippers*,41,41,.500,21.0,107.1,106.8,0.33,1993,Western
87,Los Angeles Lakers*,39,43,.476,23.0,104.2,105.5,-1.20,1993,Western
88,Golden State Warriors,34,48,.415,28.0,109.9,110.9,-0.94,1993,Western
89,Sacramento Kings,25,57,.305,37.0,107.9,111.1,-3.00,1993,Western
90,New York Knicks*,57,25,.695,—,98.5,91.5,6.48,1994,Eastern
91,Orlando Magic*,50,32,.610,7.0,105.7,101.8,3.68,1994,Eastern
92,New Jersey Nets*,45,37,.549,12.0,103.2,101.0,2.11,1994,Eastern
93,Miami Heat*,42,40,.512,15.0,103.4,100.7,2.40,1994,Eastern
94,Boston Celtics,32,50,.390,25.0,100.8,105.1,-4.28,1994,Eastern
95,Philadelphia 76ers,25,57,.305,32.0,98.0,105.6,-7.37,1994,Eastern
96,Washington Bullets,24,58,.293,33.0,100.4,107.7,-7.13,1994,Eastern
97,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1994,Eastern
98,Atlanta Hawks*,57,25,.695,—,101.4,96.2,4.94,1994,Eastern
99,Chicago Bulls*,55,27,.671,2.0,98.0,94.9,2.87,1994,Eastern
100,Indiana Pacers*,47,35,.573,10.0,101.0,97.5,3.26,1994,Eastern
101,Cleveland Cavaliers*,47,35,.573,10.0,101.2,97.1,3.64,1994,Eastern
102,Charlotte Hornets,41,41,.500,16.0,106.5,106.7,-0.23,1994,Eastern
103,Milwaukee Bucks,20,62,.244,37.0,96.9,103.4,-6.24,1994,Eastern
104,Detroit Pistons,20,62,.244,37.0,96.9,104.7,-7.46,1994,Eastern
105,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1994,Western
106,Houston Rockets*,58,24,.707,—,101.1,96.8,4.19,1994,Western
107,San Antonio Spurs*,55,27,.671,3.0,100.0,94.8,5.05,1994,Western
108,Utah Jazz*,53,29,.646,5.0,101.9,97.7,4.10,1994,Western
109,Denver Nuggets*,42,40,.512,16.0,100.3,98.8,1.54,1994,Western
110,Minnesota Timberwolves,20,62,.244,38.0,96.7,103.6,-6.55,1994,Western
111,Dallas Mavericks,13,69,.159,45.0,95.1,103.8,-8.19,1994,Western
112,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1994,Western
113,Seattle SuperSonics*,63,19,.768,—,105.9,96.9,8.68,1994,Western
114,Phoenix Suns*,56,26,.683,7.0,108.2,103.4,4.68,1994,Western
115,Golden State Warriors*,50,32,.610,13.0,107.9,106.1,1.76,1994,Western
116,Portland Trail Blazers*,47,35,.573,16.0,107.3,104.6,2.60,1994,Western
117,Los Angeles Lakers,33,49,.402,30.0,100.4,104.7,-3.93,1994,Western
118,Sacramento Kings,28,54,.341,35.0,101.1,106.9,-5.32,1994,Western
119,Los Angeles Clippers,27,55,.329,36.0,103.0,108.7,-5.28,1994,Western
120,Orlando Magic*,57,25,.695,—,110.9,103.8,6.44,1995,Eastern
121,New York Knicks*,55,27,.671,2.0,98.2,95.1,2.78,1995,Eastern
122,Boston Celtics*,35,47,.427,22.0,102.8,104.7,-1.92,1995,Eastern
123,Miami Heat,32,50,.390,25.0,101.1,102.8,-1.85,1995,Eastern
124,New Jersey Nets,30,52,.366,27.0,98.1,101.2,-3.28,1995,Eastern
125,Philadelphia 76ers,24,58,.293,33.0,95.4,100.4,-5.06,1995,Eastern
126,Washington Bullets,21,61,.256,36.0,100.5,106.1,-5.56,1995,Eastern
127,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1995,Eastern
128,Indiana Pacers*,52,30,.634,—,99.2,95.5,3.35,1995,Eastern
129,Charlotte Hornets*,50,32,.610,2.0,100.6,97.3,2.87,1995,Eastern
130,Chicago Bulls*,47,35,.573,5.0,101.5,96.7,4.32,1995,Eastern
131,Cleveland Cavaliers*,43,39,.524,9.0,90.5,89.8,0.55,1995,Eastern
132,Atlanta Hawks*,42,40,.512,10.0,96.6,95.3,1.06,1995,Eastern
133,Milwaukee Bucks,34,48,.415,18.0,99.3,103.7,-4.30,1995,Eastern
134,Detroit Pistons,28,54,.341,24.0,98.2,105.5,-7.08,1995,Eastern
135,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1995,Western
136,San Antonio Spurs*,62,20,.756,—,106.6,100.6,5.90,1995,Western
137,Utah Jazz*,60,22,.732,2.0,106.4,98.4,7.76,1995,Western
138,Houston Rockets*,47,35,.573,15.0,103.5,101.4,2.32,1995,Western
139,Denver Nuggets*,41,41,.500,21.0,101.3,100.5,0.96,1995,Western
140,Dallas Mavericks,36,46,.439,26.0,103.2,106.1,-2.39,1995,Western
141,Minnesota Timberwolves,21,61,.256,41.0,94.2,103.2,-8.22,1995,Western
142,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1995,Western
143,Phoenix Suns*,59,23,.720,—,110.6,106.8,3.86,1995,Western
144,Seattle SuperSonics*,57,25,.695,2.0,110.4,102.2,7.91,1995,Western
145,Los Angeles Lakers*,48,34,.585,11.0,105.1,105.3,-0.01,1995,Western
146,Portland Trail Blazers*,44,38,.537,15.0,103.1,99.2,3.80,1995,Western
147,Sacramento Kings,39,43,.476,20.0,98.2,99.2,-0.74,1995,Western
148,Golden State Warriors,26,56,.317,33.0,105.7,111.1,-4.90,1995,Western
149,Los Angeles Clippers,17,65,.207,42.0,96.7,105.8,-8.43,1995,Western
150,Orlando Magic*,60,22,.732,—,104.5,99.0,5.40,1996,Eastern
151,New York Knicks*,47,35,.573,13.0,97.2,94.9,2.24,1996,Eastern
152,Miami Heat*,42,40,.512,18.0,96.5,95.0,1.46,1996,Eastern
153,Washington Bullets,39,43,.476,21.0,102.5,101.5,0.99,1996,Eastern
154,Boston Celtics,33,49,.402,27.0,103.6,107.0,-3.37,1996,Eastern
155,New Jersey Nets,30,52,.366,30.0,93.7,97.9,-4.14,1996,Eastern
156,Philadelphia 76ers,18,64,.220,42.0,94.5,104.5,-9.45,1996,Eastern
157,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1996,Eastern
158,Chicago Bulls*,72,10,.878,—,105.2,92.9,11.80,1996,Eastern
159,Indiana Pacers*,52,30,.634,20.0,99.3,96.1,3.11,1996,Eastern
160,Cleveland Cavaliers*,47,35,.573,25.0,91.1,88.5,2.49,1996,Eastern
161,Atlanta Hawks*,46,36,.561,26.0,98.3,97.1,1.29,1996,Eastern
162,Detroit Pistons*,46,36,.561,26.0,95.4,92.9,2.45,1996,Eastern
163,Charlotte Hornets,41,41,.500,31.0,102.8,103.4,-0.48,1996,Eastern
164,Milwaukee Bucks,25,57,.305,47.0,95.6,100.9,-4.92,1996,Eastern
165,Toronto Raptors,21,61,.256,51.0,97.5,105.0,-7.20,1996,Eastern
166,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1996,Western
167,San Antonio Spurs*,59,23,.720,—,103.4,97.1,5.98,1996,Western
168,Utah Jazz*,55,27,.671,4.0,102.5,95.9,6.25,1996,Western
169,Houston Rockets*,48,34,.585,11.0,102.5,100.7,1.63,1996,Western
170,Denver Nuggets,35,47,.427,24.0,97.7,100.4,-2.62,1996,Western
171,Minnesota Timberwolves,26,56,.317,33.0,97.9,103.2,-5.14,1996,Western
172,Dallas Mavericks,26,56,.317,33.0,102.5,107.5,-4.71,1996,Western
173,Vancouver Grizzlies,15,67,.183,44.0,89.8,99.8,-9.55,1996,Western
174,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1996,Western
175,Seattle SuperSonics*,64,18,.780,—,104.5,96.7,7.40,1996,Western
176,Los Angeles Lakers*,53,29,.646,11.0,102.9,98.5,4.21,1996,Western
177,Portland Trail Blazers*,44,38,.537,20.0,99.3,97.0,2.21,1996,Western
178,Phoenix Suns*,41,41,.500,23.0,104.3,104.0,0.28,1996,Western
179,Sacramento Kings*,39,43,.476,25.0,99.5,102.3,-2.62,1996,Western
180,Golden State Warriors,36,46,.439,28.0,101.6,103.1,-1.42,1996,Western
181,Los Angeles Clippers,29,53,.354,35.0,99.4,103.0,-3.46,1996,Western
182,Miami Heat*,61,21,.744,—,94.8,89.3,5.56,1997,Eastern
183,New York Knicks*,57,25,.695,4.0,95.4,92.2,3.31,1997,Eastern
184,Orlando Magic*,45,37,.549,16.0,94.1,94.5,-0.07,1997,Eastern
185,Washington Bullets*,44,38,.537,17.0,99.4,97.7,1.77,1997,Eastern
186,New Jersey Nets,26,56,.317,35.0,97.2,101.8,-3.89,1997,Eastern
187,Philadelphia 76ers,22,60,.268,39.0,100.2,106.7,-5.89,1997,Eastern
188,Boston Celtics,15,67,.183,46.0,100.6,107.9,-6.62,1997,Eastern
189,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1997,Eastern
190,Chicago Bulls*,69,13,.841,—,103.1,92.3,10.70,1997,Eastern
191,Atlanta Hawks*,56,26,.683,13.0,94.8,89.4,5.52,1997,Eastern
192,Detroit Pistons*,54,28,.659,15.0,94.2,88.9,5.45,1997,Eastern
193,Charlotte Hornets*,54,28,.659,15.0,98.9,97.0,2.13,1997,Eastern
194,Cleveland Cavaliers,42,40,.512,27.0,87.5,85.6,2.32,1997,Eastern
195,Indiana Pacers,39,43,.476,30.0,95.4,94.4,1.49,1997,Eastern
196,Milwaukee Bucks,33,49,.402,36.0,95.3,97.2,-1.38,1997,Eastern
197,Toronto Raptors,30,52,.366,39.0,95.5,98.6,-2.56,1997,Eastern
198,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1997,Western
199,Utah Jazz*,64,18,.780,—,103.1,94.3,7.97,1997,Western
200,Houston Rockets*,57,25,.695,7.0,100.6,96.1,3.85,1997,Western
201,Minnesota Timberwolves*,40,42,.488,24.0,96.1,97.6,-1.82,1997,Western
202,Dallas Mavericks,24,58,.293,40.0,90.6,97.0,-6.47,1997,Western
203,Denver Nuggets,21,61,.256,43.0,97.8,104.1,-6.40,1997,Western
204,San Antonio Spurs,20,62,.244,44.0,90.5,98.3,-7.93,1997,Western
205,Vancouver Grizzlies,14,68,.171,50.0,89.2,99.4,-10.17,1997,Western
206,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1997,Western
207,Seattle SuperSonics*,57,25,.695,—,100.9,93.2,6.91,1997,Western
208,Los Angeles Lakers*,56,26,.683,1.0,100.0,95.7,3.66,1997,Western
209,Portland Trail Blazers*,49,33,.598,8.0,99.0,94.8,3.56,1997,Western
210,Phoenix Suns*,40,42,.488,17.0,102.8,102.2,0.21,1997,Western
211,Los Angeles Clippers*,36,46,.439,21.0,97.2,99.5,-2.66,1997,Western
212,Sacramento Kings,34,48,.415,23.0,96.4,99.8,-3.64,1997,Western
213,Golden State Warriors,30,52,.366,27.0,99.6,104.4,-4.90,1997,Western
214,Miami Heat*,55,27,.671,—,95.0,90.0,5.09,1998,Eastern
215,New York Knicks*,43,39,.524,12.0,91.6,89.1,2.74,1998,Eastern
216,New Jersey Nets*,43,39,.524,12.0,99.6,98.1,1.88,1998,Eastern
217,Washington Wizards,42,40,.512,13.0,97.2,96.6,1.11,1998,Eastern
218,Orlando Magic,41,41,.500,14.0,90.1,91.2,-0.53,1998,Eastern
219,Boston Celtics,36,46,.439,19.0,95.9,98.5,-1.96,1998,Eastern
220,Philadelphia 76ers,31,51,.378,24.0,93.3,95.7,-1.89,1998,Eastern
221,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1998,Eastern
222,Chicago Bulls*,62,20,.756,—,96.7,89.6,7.24,1998,Eastern
223,Indiana Pacers*,58,24,.707,4.0,96.0,89.9,6.25,1998,Eastern
224,Charlotte Hornets*,51,31,.622,11.0,96.6,94.6,2.45,1998,Eastern
225,Atlanta Hawks*,50,32,.610,12.0,95.9,92.3,3.85,1998,Eastern
226,Cleveland Cavaliers*,47,35,.573,15.0,92.5,89.8,3.06,1998,Eastern
227,Detroit Pistons,37,45,.451,25.0,94.2,92.6,1.95,1998,Eastern
228,Milwaukee Bucks,36,46,.439,26.0,94.5,96.4,-1.33,1998,Eastern
229,Toronto Raptors,16,66,.195,46.0,94.9,104.2,-8.33,1998,Eastern
230,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1998,Western
231,Utah Jazz*,62,20,.756,—,101.0,94.4,5.73,1998,Western
232,San Antonio Spurs*,56,26,.683,6.0,92.5,88.5,3.30,1998,Western
233,Minnesota Timberwolves*,45,37,.549,17.0,101.1,100.4,0.17,1998,Western
234,Houston Rockets*,41,41,.500,21.0,98.8,99.5,-1.23,1998,Western
235,Dallas Mavericks,20,62,.244,42.0,91.4,97.5,-6.33,1998,Western
236,Vancouver Grizzlies,19,63,.232,43.0,96.6,103.9,-7.47,1998,Western
237,Denver Nuggets,11,71,.134,51.0,89.0,100.8,-11.74,1998,Western
238,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1998,Western
239,Seattle SuperSonics*,61,21,.744,—,100.6,93.4,6.33,1998,Western
240,Los Angeles Lakers*,61,21,.744,—,105.5,97.8,6.88,1998,Western
241,Phoenix Suns*,56,26,.683,5.0,99.6,94.4,4.44,1998,Western
242,Portland Trail Blazers*,46,36,.561,15.0,94.3,92.9,0.83,1998,Western
243,Sacramento Kings,27,55,.329,34.0,93.1,98.7,-5.83,1998,Western
244,Golden State Warriors,19,63,.232,42.0,88.3,97.4,-9.20,1998,Western
245,Los Angeles Clippers,17,65,.207,44.0,95.9,103.3,-7.53,1998,Western
246,Miami Heat*,33,17,.660,—,89.0,84.0,5.11,1999,Eastern
247,Orlando Magic*,33,17,.660,—,89.5,86.9,3.11,1999,Eastern
248,Philadelphia 76ers*,28,22,.560,5.0,89.7,87.6,2.56,1999,Eastern
249,New York Knicks*,27,23,.540,6.0,86.4,85.4,1.45,1999,Eastern
250,Boston Celtics,19,31,.380,14.0,93.0,94.9,-1.75,1999,Eastern
251,Washington Wizards,18,32,.360,15.0,91.2,93.4,-1.75,1999,Eastern
252,New Jersey Nets,16,34,.320,17.0,91.4,95.2,-3.20,1999,Eastern
253,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1999,Eastern
254,Indiana Pacers*,33,17,.660,—,94.7,90.9,3.86,1999,Eastern
255,Atlanta Hawks*,31,19,.620,2.0,86.3,83.4,2.82,1999,Eastern
256,Detroit Pistons*,29,21,.580,4.0,90.4,86.9,3.97,1999,Eastern
257,Milwaukee Bucks*,28,22,.560,5.0,91.7,90.0,1.66,1999,Eastern
258,Charlotte Hornets,26,24,.520,7.0,92.9,93.0,0.63,1999,Eastern
259,Toronto Raptors,23,27,.460,10.0,91.1,92.8,-1.32,1999,Eastern
260,Cleveland Cavaliers,22,28,.440,11.0,86.4,88.2,-0.94,1999,Eastern
261,Chicago Bulls,13,37,.260,20.0,81.9,91.4,-8.58,1999,Eastern
262,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1999,Western
263,San Antonio Spurs*,37,13,.740,—,92.8,84.7,7.12,1999,Western
264,Utah Jazz*,37,13,.740,—,93.3,86.8,5.54,1999,Western
265,Houston Rockets*,31,19,.620,6.0,94.2,91.9,1.39,1999,Western
266,Minnesota Timberwolves*,25,25,.500,12.0,92.9,92.6,-0.17,1999,Western
267,Dallas Mavericks,19,31,.380,18.0,91.6,94.0,-2.50,1999,Western
268,Denver Nuggets,14,36,.280,23.0,93.5,100.1,-6.67,1999,Western
269,Vancouver Grizzlies,8,42,.160,29.0,88.9,97.5,-8.94,1999,Western
270,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1999,Western
271,Portland Trail Blazers*,35,15,.700,—,94.8,88.5,5.67,1999,Western
272,Los Angeles Lakers*,31,19,.620,4.0,99.0,96.0,2.68,1999,Western
273,Phoenix Suns*,27,23,.540,8.0,95.6,93.3,2.15,1999,Western
274,Sacramento Kings*,27,23,.540,8.0,100.2,100.6,-0.89,1999,Western
275,Seattle SuperSonics,25,25,.500,10.0,94.9,95.9,-1.43,1999,Western
276,Golden State Warriors,21,29,.420,14.0,88.3,90.8,-2.63,1999,Western
277,Los Angeles Clippers,9,41,.180,26.0,90.4,99.2,-8.94,1999,Western
